id,date,school_id,course_id,category,price,student_id
1,2018-01-01,61,2279,lifestyle,3999,2223
2,2018-01-01,509,2268,spirituality,1900,7431
3,2018-01-01,457,2391,finance,9900,8403
4,2018-01-01,465,2955,personal improvement,14900,7547
5,2018-01-01,61,2279,lifestyle,3999,5168
6,2018-01-01,61,2279,lifestyle,3999,9315
7,2018-01-01,132,1823,personal improvement,1900,8474
8,2018-01-01,553,1325,personal improvement,0,6406
9,2018-01-01,59,2037,personal improvement,14900,9165
10,2018-01-01,558,1603,technology,9900,4745
11,2018-01-01,74,1543,spirituality,1900,7001
12,2018-01-01,324,2556,personal improvement,3999,6083
13,2018-01-01,256,753,technology,3999,4060
14,2018-01-01,220,2680,lifestyle,1900,3876
15,2018-01-01,132,2092,personal improvement,3999,9843
16,2018-01-01,61,2279,lifestyle,3999,3106
17,2018-01-01,598,111,technology,3999,5062
18,2018-01-01,417,760,finance,3999,276
19,2018-01-01,396,1825,lifestyle,3999,7562
20,2018-01-01,553,2140,personal improvement,0,9367
21,2018-01-01,75,2203,lifestyle,0,2102
22,2018-01-01,61,2279,lifestyle,3999,2152
23,2018-01-01,151,2016,personal improvement,9900,2155
24,2018-01-01,501,2797,technology,0,6888
25,2018-01-01,61,2279,lifestyle,3999,5063
26,2018-01-01,249,2901,technology,14900,231
27,2018-01-01,191,1928,technology,0,6760
28,2018-01-01,343,23,business,1900,2220
29,2018-01-01,77,2722,lifestyle,1900,6208
30,2018-01-01,61,2279,lifestyle,3999,7148
31,2018-01-01,581,955,academics,3999,995
32,2018-01-01,570,604,finance,0,6414
33,2018-01-01,287,2313,personal improvement,1900,4599
34,2018-01-01,53,1642,business,14900,2317
35,2018-01-01,277,356,technology,1900,2751
36,2018-01-01,163,1144,business,1900,1771
37,2018-01-01,510,1147,business,14900,532
38,2018-01-01,552,2934,spirituality,0,4401
39,2018-01-01,132,377,personal improvement,1900,4145
40,2018-01-01,61,2279,lifestyle,3999,5961
41,2018-01-01,172,453,academics,14900,1005
42,2018-01-01,61,2279,lifestyle,3999,6569
43,2018-01-01,576,752,technology,1900,9246
44,2018-01-01,384,2665,personal improvement,1900,9924
45,2018-01-01,278,2540,lifestyle,14900,2558
46,2018-01-01,533,2796,business,3999,8797
47,2018-01-01,61,2279,lifestyle,3999,251
48,2018-01-01,447,2459,lifestyle,9900,5444
49,2018-01-01,180,1729,technology,0,4210
50,2018-01-01,535,705,personal improvement,0,9315
51,2018-01-01,567,555,lifestyle,3999,6049
52,2018-01-01,135,1897,technology,3999,3639
53,2018-01-01,443,305,technology,0,319
54,2018-01-01,543,254,lifestyle,3999,314
55,2018-01-01,61,2279,lifestyle,3999,530
56,2018-01-01,261,2706,personal improvement,3999,1286
57,2018-01-01,61,2279,lifestyle,3999,8221
58,2018-01-01,61,2279,lifestyle,3999,5530
59,2018-01-01,26,2024,business,0,3331
60,2018-01-01,206,731,personal improvement,1900,2238
61,2018-01-01,482,423,business,9900,3954
62,2018-01-01,61,2279,lifestyle,3999,2328
63,2018-01-01,586,27,lifestyle,9900,3293
64,2018-01-01,206,922,personal improvement,1900,6067
65,2018-01-01,340,1148,lifestyle,9900,3909
66,2018-01-01,61,2279,lifestyle,3999,9091
67,2018-01-01,468,977,lifestyle,1900,6667
68,2018-01-01,160,1235,lifestyle,0,3046
69,2018-01-01,106,1582,personal improvement,3999,9689
70,2018-01-01,183,1304,personal improvement,9900,2729
71,2018-01-01,450,256,lifestyle,0,2981
72,2018-01-01,59,2802,personal improvement,9900,558
73,2018-01-01,537,900,personal improvement,14900,8249
74,2018-01-01,49,974,business,14900,927
75,2018-01-01,446,2919,lifestyle,9900,688
76,2018-01-01,61,2279,lifestyle,3999,1502
77,2018-01-01,421,171,academics,3999,6290
78,2018-01-02,61,2279,lifestyle,3999,1776
79,2018-01-02,61,2279,lifestyle,3999,9680
80,2018-01-02,256,753,technology,3999,7083
81,2018-01-02,170,1335,finance,3999,1925
82,2018-01-02,9,1674,personal improvement,9900,1562
83,2018-01-02,234,1416,lifestyle,14900,8274
84,2018-01-02,446,2919,lifestyle,9900,5390
85,2018-01-02,521,600,finance,14900,3345
86,2018-01-02,41,1801,finance,9900,8064
87,2018-01-02,61,2279,lifestyle,3999,7087
88,2018-01-02,61,2279,lifestyle,3999,4692
89,2018-01-02,208,1020,lifestyle,0,8463
90,2018-01-02,431,583,personal improvement,3999,6840
91,2018-01-02,363,2242,technology,14900,2704
92,2018-01-02,336,1616,finance,14900,7222
93,2018-01-02,106,708,personal improvement,3999,9923
94,2018-01-02,61,2279,lifestyle,3999,9842
95,2018-01-02,545,1693,academics,0,4202
96,2018-01-02,293,2461,personal improvement,9900,9608
97,2018-01-02,261,2810,personal improvement,3999,6361
98,2018-01-02,178,1519,lifestyle,14900,1276
99,2018-01-02,417,760,finance,3999,4522
100,2018-01-02,521,600,finance,14900,9594
101,2018-01-02,264,828,personal improvement,1900,3578
102,2018-01-02,167,1948,business,9900,3427
103,2018-01-02,251,1092,finance,14900,9703
104,2018-01-02,256,753,technology,3999,653
105,2018-01-02,545,1635,academics,0,8033
106,2018-01-02,26,2024,business,0,3023
107,2018-01-02,160,30,lifestyle,1900,6791
108,2018-01-02,186,422,academics,1900,3854
109,2018-01-02,421,171,academics,3999,8027
110,2018-01-02,503,137,technology,9900,3269
111,2018-01-02,90,1252,personal improvement,0,1560
112,2018-01-02,535,175,personal improvement,9900,4471
113,2018-01-02,461,1194,business,1900,5774
114,2018-01-02,106,1582,personal improvement,3999,9945
115,2018-01-02,545,452,academics,14900,8269
116,2018-01-02,363,2167,technology,3999,710
117,2018-01-02,228,1849,business,3999,6240
118,2018-01-02,61,2279,lifestyle,3999,9232
119,2018-01-02,408,2088,finance,3999,9798
120,2018-01-02,183,1304,personal improvement,9900,4803
121,2018-01-02,6,466,technology,3999,3795
122,2018-01-02,443,305,technology,0,8312
123,2018-01-02,188,1224,lifestyle,14900,5722
124,2018-01-02,297,407,personal improvement,3999,3016
125,2018-01-02,186,389,academics,3999,9540
126,2018-01-02,384,2839,personal improvement,0,53
127,2018-01-02,29,287,finance,0,6812
128,2018-01-02,129,1511,finance,1900,8919
129,2018-01-02,421,1672,academics,1900,7173
130,2018-01-02,456,2395,business,9900,2279
131,2018-01-02,396,578,lifestyle,9900,7189
132,2018-01-02,61,2279,lifestyle,3999,3076
133,2018-01-02,451,504,finance,1900,1788
134,2018-01-02,454,1610,lifestyle,9900,2892
135,2018-01-02,61,2279,lifestyle,3999,6389
136,2018-01-02,471,2601,spirituality,0,1441
137,2018-01-02,446,2919,lifestyle,9900,9372
138,2018-01-02,393,877,academics,1900,258
139,2018-01-02,395,2107,business,14900,8668
140,2018-01-02,26,2024,business,0,9961
141,2018-01-02,533,1102,business,1900,7070
142,2018-01-02,61,2279,lifestyle,3999,8271
143,2018-01-02,264,2787,personal improvement,3999,4070
144,2018-01-02,61,2279,lifestyle,3999,5844
145,2018-01-02,61,2279,lifestyle,3999,1898
146,2018-01-02,456,2784,business,9900,5129
147,2018-01-02,598,541,technology,9900,8095
148,2018-01-02,284,417,personal improvement,1900,2485
149,2018-01-02,277,356,technology,1900,6931
150,2018-01-02,80,2537,technology,0,575
151,2018-01-02,390,2033,technology,9900,4571
152,2018-01-02,293,413,personal improvement,9900,878
153,2018-01-02,496,2806,personal improvement,9900,3296
154,2018-01-02,324,2556,personal improvement,3999,4916
155,2018-01-02,61,2279,lifestyle,3999,6728
156,2018-01-02,135,1762,technology,3999,9956
157,2018-01-02,551,238,personal improvement,14900,2653
158,2018-01-02,350,2189,finance,1900,7327
159,2018-01-02,577,1981,lifestyle,0,4592
160,2018-01-02,198,1113,lifestyle,3999,9232
161,2018-01-02,228,1849,business,3999,1344
162,2018-01-02,509,2575,spirituality,1900,3213
163,2018-01-02,61,2279,lifestyle,3999,5562
164,2018-01-02,553,2352,personal improvement,3999,7744
165,2018-01-02,61,2279,lifestyle,3999,4447
166,2018-01-03,106,1846,personal improvement,9900,5723
167,2018-01-03,501,1438,technology,3999,1358
168,2018-01-03,183,1304,personal improvement,9900,9698
169,2018-01-03,61,2279,lifestyle,3999,8289
170,2018-01-03,217,2378,lifestyle,0,9151
171,2018-01-03,61,2279,lifestyle,3999,5891
172,2018-01-03,217,1188,lifestyle,9900,9787
173,2018-01-03,61,2279,lifestyle,3999,2944
174,2018-01-03,178,2444,lifestyle,9900,6058
175,2018-01-03,503,2694,technology,3999,7193
176,2018-01-03,124,168,lifestyle,0,1210
177,2018-01-03,135,1762,technology,3999,8254
178,2018-01-03,540,37,personal improvement,0,61
179,2018-01-03,220,696,lifestyle,9900,7981
180,2018-01-03,61,2279,lifestyle,3999,1106
181,2018-01-03,228,1849,business,3999,8166
182,2018-01-03,535,705,personal improvement,0,3568
183,2018-01-03,501,1242,technology,14900,9076
184,2018-01-03,393,877,academics,1900,6915
185,2018-01-03,456,2784,business,9900,6336
186,2018-01-03,409,1839,finance,9900,4015
187,2018-01-03,24,591,lifestyle,9900,939
188,2018-01-03,90,1456,personal improvement,9900,3810
189,2018-01-03,61,2279,lifestyle,3999,226
190,2018-01-03,264,2859,personal improvement,9900,6092
